timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,wind10m,weather
3,1,15,none,0,9,69%,"{'direction': 'NW', 'speed': 3}",clearnight
6,1,15,none,0,8,72%,"{'direction': 'NW', 'speed': 3}",clearnight
9,1,15,none,0,8,74%,"{'direction': 'NW', 'speed': 3}",clearnight
12,3,15,none,0,7,71%,"{'direction': 'NW', 'speed': 3}",pcloudynight
15,1,15,none,0,6,78%,"{'direction': 'NW', 'speed': 3}",clearnight
18,1,15,none,0,5,81%,"{'direction': 'NW', 'speed': 3}",clearnight
21,1,15,none,0,6,83%,"{'direction': 'NW', 'speed': 2}",clearday
24,4,15,none,0,6,78%,"{'direction': 'NW', 'speed': 2}",pcloudyday
27,3,15,none,0,3,84%,"{'direction': 'N', 'speed': 2}",pcloudynight
30,3,15,none,0,2,85%,"{'direction': 'N', 'speed': 2}",pcloudynight
33,4,15,none,0,1,80%,"{'direction': 'N', 'speed': 2}",pcloudynight
36,6,15,none,0,2,78%,"{'direction': 'NW', 'speed': 2}",mcloudynight
39,8,15,none,0,1,78%,"{'direction': 'SW', 'speed': 2}",cloudynight
42,8,15,none,0,1,77%,"{'direction': 'S', 'speed': 2}",cloudynight
45,9,15,none,0,4,84%,"{'direction': 'S', 'speed': 2}",cloudyday
48,9,15,none,0,5,75%,"{'direction': 'S', 'speed': 2}",cloudyday
51,9,15,none,0,3,79%,"{'direction': 'S', 'speed': 2}",cloudynight
54,9,15,none,0,4,85%,"{'direction': 'SW', 'speed': 2}",cloudynight
57,9,15,none,0,5,86%,"{'direction': 'SW', 'speed': 3}",cloudynight
60,9,10,none,0,6,86%,"{'direction': 'SW', 'speed': 3}",cloudynight
63,9,6,none,1,7,91%,"{'direction': 'W', 'speed': 3}",cloudynight
66,9,6,rain,2,5,86%,"{'direction': 'N', 'speed': 3}",lightrainnight
69,9,10,rain,2,3,82%,"{'direction': 'N', 'speed': 3}",lightrainday
72,9,10,rain,2,3,78%,"{'direction': 'N', 'speed': 3}",lightrainday
75,9,15,rain,2,3,65%,"{'direction': 'NE', 'speed': 3}",lightrainnight
78,6,15,rain,2,2,70%,"{'direction': 'NE', 'speed': 3}",oshowernight
81,2,15,none,2,0,80%,"{'direction': 'NE', 'speed': 2}",clearnight
84,5,15,none,2,1,73%,"{'direction': 'NE', 'speed': 3}",pcloudynight
87,9,15,snow,3,1,72%,"{'direction': 'NE', 'speed': 2}",lightsnownight
90,8,15,snow,3,-1,69%,"{'direction': 'N', 'speed': 2}",lightsnownight
93,2,15,none,3,0,70%,"{'direction': 'N', 'speed': 2}",clearday
96,2,15,none,3,0,71%,"{'direction': 'N', 'speed': 2}",clearday
99,2,15,none,3,-1,70%,"{'direction': 'N', 'speed': 2}",clearnight
102,2,15,none,3,-1,74%,"{'direction': 'N', 'speed': 2}",clearnight
105,1,15,none,3,-1,72%,"{'direction': 'N', 'speed': 2}",clearnight
108,2,15,none,3,-1,74%,"{'direction': 'N', 'speed': 2}",clearnight
111,2,15,none,3,-1,70%,"{'direction': 'N', 'speed': 2}",clearnight
114,2,15,none,3,-1,75%,"{'direction': 'N', 'speed': 2}",clearnight
117,1,15,none,3,0,71%,"{'direction': 'N', 'speed': 2}",clearday
120,1,15,none,3,0,69%,"{'direction': 'N', 'speed': 2}",clearday
123,1,15,none,3,-1,70%,"{'direction': 'N', 'speed': 2}",clearnight
126,1,15,none,3,-1,66%,"{'direction': 'NE', 'speed': 2}",clearnight
129,1,15,none,3,-1,66%,"{'direction': 'NE', 'speed': 2}",clearnight
132,1,15,none,3,-2,68%,"{'direction': 'NE', 'speed': 2}",clearnight
135,1,15,none,3,-2,68%,"{'direction': 'N', 'speed': 2}",clearnight
138,2,15,none,3,-2,70%,"{'direction': 'NW', 'speed': 2}",clearnight
141,2,15,none,3,-1,64%,"{'direction': 'NW', 'speed': 2}",clearday
144,2,15,none,3,-1,61%,"{'direction': 'NW', 'speed': 2}",clearday
147,1,15,none,3,-2,60%,"{'direction': 'NW', 'speed': 2}",clearnight
150,1,15,none,3,-2,65%,"{'direction': 'N', 'speed': 2}",clearnight
153,1,15,none,3,-2,62%,"{'direction': 'N', 'speed': 2}",clearnight
156,1,15,none,3,-2,65%,"{'direction': 'N', 'speed': 2}",clearnight
159,1,15,none,3,-2,71%,"{'direction': 'N', 'speed': 2}",clearnight
162,1,15,none,3,-3,75%,"{'direction': 'N', 'speed': 2}",clearnight
165,1,15,none,3,-1,74%,"{'direction': 'NE', 'speed': 2}",clearday
168,1,15,none,3,-1,72%,"{'direction': 'NE', 'speed': 2}",clearday
171,1,15,none,3,-2,74%,"{'direction': 'NE', 'speed': 2}",clearnight
174,2,15,none,3,-2,74%,"{'direction': 'NE', 'speed': 2}",clearnight
177,2,15,none,3,-2,70%,"{'direction': 'NE', 'speed': 2}",clearnight
180,2,15,none,3,-1,70%,"{'direction': 'NE', 'speed': 2}",clearnight
183,3,15,none,3,-1,77%,"{'direction': 'E', 'speed': 2}",pcloudynight
186,4,15,none,3,-1,70%,"{'direction': 'S', 'speed': 2}",pcloudynight
189,3,15,none,3,0,76%,"{'direction': 'S', 'speed': 2}",pcloudyday
192,2,15,none,3,0,78%,"{'direction': 'S', 'speed': 2}",clearday
